a	/ei/	art.一(个);每一(个);(同类事物中)任一个
abandon	/ə'bændən/	vt.离弃,丢弃;遗弃,抛弃;放弃
abdomen	/æb'dəumen/	n.腹,下腹(胸部到腿部的部分)
abatement	/ə'beitmənt/	n.减(免)税,打折扣,冲销
abide	/ə'baid/	vi.(abode,abided)(by)遵守;坚持;vt.忍受,容忍
ability	/ə'biliti/	n.能力;本领;才能,才干;专门技能,天资
able	/'eibl/	a.有(能力、时间、知识等)做某事,有本事的
abnormal	/æb'nɔ:məl/	a.反常的,不正常的,不规则的
aboard	/ə'bɔ:d/	ad.&prep.在船(飞机、车)上;ad.上船(飞机、车)
abolish	/ə'bɔliʃ/	vt.废除(法律、习惯等);取消
abound	/ə'baund/	vi.大量存在;(~in,~with)充满,富于
about	/ə'baut/	ad.在周围;大约prep.关于;在周围a.准备
above	/ə'bʌv/	a.上述的ad.在上面,在前文prep.在..之上,高于
abroad	/ə'brɔ:d/	ad.到国外,在国外;在传播,在流传
abrupt	/ə'brʌpt/	a.突然的,出其不意的;(行为等)粗鲁无礼的
absence	/'æbsəns/	n.缺乏,不存在;缺席,不在场;缺席的时间
absent	/'æbsənt,æb'sent/	a.缺席的;缺乏的,不存在的;心不在焉的
absolute	/'æbsəlju:t/	a.绝对的,完全的;确实的,肯定的
absorb	/əb'sɔ:b,-'zɔ:b/	vt.吸收(水、光、蒸汽等);使全神贯注;吞并/兼并
abstract	/'æbstrækt/	a.抽象的n.摘要,文摘,梗概vt.提取;摘录要点
absurd	/əb'sə:d/	a.荒谬的,荒诞的,荒唐可笑的;不合理的
abundance	/ə'bʌndəns/	n.丰富,充裕,大量
abundant	/ə'bʌndənt/	a.大量(充足)的;(in)丰富(富裕)的
abuse	/ə'bju:z,ə'bju:s/	vt.滥用;虐待,辱骂;诋毁n.滥用;恶习;弊端
academic	/,ækə'demik/	a.学院的,学术性的;大学的;理论的
academy	/ə'kædəmi/	n.(高等)专科院校;学术社团,协会,研究院
accelerate	/ək'seləreit/	v.使加速,使增速,促进vi.加快,增加
accent	/'æksənt,æk'sent/	n.口音,腔调;重音(符号)vt.重读
accept	/ək'sept/	vt.接受,领受;认可,同意vi.同意,认可
acceptable	/ək'septəbl/	adj.可接受的,合意的
acceptance	/ək'septəns/	n.接受,接收,验收,接纳;承认,认可
access	/'ækses/	n.进入;接入;到达;享用权;入口vi.存取
accessory	/ək'sesəri/	n.附件,附属品;(为全套衣服增加美感的)服饰
accident	/'æksidənt/	n.意外遭遇,事故;意外(因素)
accidental	/,æksi'dentəl/	a.偶然的;意外的;无意中的
acclaim	/ə'kleim/	v.向…欢呼,公认n.欢呼,喝彩,称赞
accommodate	/ə'kɔmədeit/	vt.向…提供住处;对...予以照顾性考虑
accommodation	/ə,kɔmə'deiʃən/	n.(accommodations)住宿,留宿;膳宿供应
accompany	/ə'kʌmpəni/	v.陪伴,陪同;伴随,和...一起发生,伴奏
accomplish	/ə'kʌmpliʃ,ə'kɔm-/	v.实现(计划等);达到(目的);完成(任务)
accord	/ə'kɔ:d/	vt.给予(欢迎、称颂等)vi.&n.符合,一致
accordance	/ə'kɔ:dəns/	n.一致,和谐,符合
accordingto	/ə'kɔ:diŋtu/	prep.据/照…(所说、所写);按…,视…
accordingly	/ə'kɔ:diŋli/	ad.相应地,照着办,按照;于是,因此
account	/ə'kaunt/	a.叙述,说明;账目,账户vi.说明,解释
accountant	/ə'kauntənt/	n.会计人员,会计师
accumulate	/ə'kju:mjuleit/	vt.堆积,积累,积聚vi.累积,聚积
accuracy	/'ækjurəsi/	n.准确（性）;精确;准确度
accurate	/'ækjurət/	a.正确无误的;准确的,精确的
accuse	/ə'kju:z/	vt.控告,指责vi.指控,指责
accustomed	/ə'kʌstəmd/	a.惯常的;习惯的,适应的(一般作表语)
