fish	/fiʃ/	n.(pl.fish(es))鱼;鱼肉v.捕鱼;钓鱼
fisherman	/'fiʃəmən/	n.渔夫,捕鱼人
fist	/fist/	n.拳头vt.用拳头打;紧握
fit	/'fit/	a.(病的)发作,痉挛v./a.n.合适,试穿,安装
fitting	/'fitiŋ/	a.适当的,恰当的n.(常pl.)配件,附件;装配
five	/faiv/	num.五pron./a.五(个,只...)
fix	/fiks/	v.(使)固定;修理;安装;决定;注视n.困境
fixture	/'fikstʃə/	n.固定设备;预定日期;比赛时间;定期存款
flag	/flæɡ/	n.旗
flame	/fleim/	n.火焰,火苗;热情;光辉v.发火焰,燃烧
flap	/flæp/	n.垂下物,帽沿,袋盖n./v.拍打,拍动
flare	/flεə/	v./n.闪耀,闪烁
flash	/flæʃ/	n./a.闪光(的)v.发闪光,闪亮;闪现
flat	/flæt/	a.平坦的,扁平的,平淡的n.一套房间;平面
flatter	/'fleivə/	vt.奉承;使高兴;使满意;胜过
flavor	/'fleivə/	n.(flavour)情味;风味;滋味v.给…调味
flaw	/flɔ:/	n.裂缝;缺陷v.使破裂;使有缺陷
flee	/fli:/	v.逃走;逃避
fleet	/fli:t/	n.舰队,船队
flesh	/fleʃ/	n.肉,肌肉
flexible	/'fleksibl/	a.柔韧的,易弯曲的,灵活的,能变形的
flight	/flait/	n.飞翔,飞行;航班;航程;逃跑;楼梯的一段
fling	/fliŋ/	v.(用力地)扔,抛,丢
float	/fləut/	n.飘浮;漂流物v.浮动;漂浮;传播;动摇
flock	/flɔk/	n.(一)群,(禽,畜等的)群;大量v.群集,成群
flood	/flʌd/	n.洪水,水灾v.淹没,发大水,泛滥
floor	/flɔ:/	n.地板,(楼房)的层
flour	/'flauə/	n.面粉
flourish	/'flauriʃ/	n./v.繁荣,茂盛,兴旺
flow	/fləu/	v.流,流动n.流量,流速
flower	/'flauə/	n.花;精华,精粹,精英;盛时vi.开花
flu	/flu:/	n.(influenza)流行性感冒
fluctuate	/'flʌktjueit/	v.(使)波动;(使)起伏
fluent	/'flu(:)ənt/	a.流利的,流畅的
fluid	/'flu(:)id/	a.流动的,液体的n.流体,液体
flush	/flʌʃ/	n.脸红v.发红;奔流a.洋溢的;富裕的;齐平的
fly	/flai/	n.飞行;苍蝇v飞行;飘杨a.机敏的
foam	/fəum/	v./n.泡沫,起泡沫
focus	/'fəukəs/	n.焦点,(活动,兴趣等的)中心v.(on)使聚集
fog	/fɔɡ/	n.雾气,雾v.以雾笼罩,被雾笼罩
fold	/fəuld/	v.折叠;合拢;抱住n.褶,褶痕;羊栏;信徒
folk	/fəuk/	n.人们;民族;亲属a.民间的
follow	/'fɔləu/	v.跟随,接着;领会;沿着…前进,遵循;结果是
following	/'fɔləuiŋ/	a.下列的,下述的,其次的,接着的
fond	/fɔnd/	a.(of)喜爱的,爱好的
food	/fu:d/	n.食物,粮食,养料
fool	/fu:l/	n.傻子,笨蛋vt.欺骗,愚弄vi.干蠢事
foolish	/'fu:liʃ/	a.愚笨的,愚蠢的
foot	/fut/	n.(pl.feet)脚,足;英尺;底部
football	/'fut,bɔ:l/	n.足球
footstep	/'fut'step/	n.脚步(声),足迹
for	/强fɔ:,弱fə/	prep.为了;给;代替;向;支持conj.因为?
